comarca,2012,2011,2010,2009,2008,2007,2006
Camboriú - SC,0,0,1,0,0,0,0
Santo Ângelo - RS,0,0,0,1,0,0,0
Porciúncula,0,0,1,1,0,0,0
Guapimirim,0,5,2,1,1,2,0
Paulista - PE,0,1,0,1,0,0,0
Pinheiros - ES,0,1,0,0,1,0,0
São Pedro d'Aldeia,0,1,0,4,2,0,0
Vaz Lobo,0,0,0,0,0,0,0
Porto Seguro - BA,0,0,0,1,0,0,0
Juazeiro - BA,0,1,0,0,0,0,0
Alcântara,0,1,1,2,6,0,0
Pendotiba,0,0,0,3,1,2,1
Anchieta,0,0,0,0,0,0,0
Pau dos Ferros - RN,0,0,0,0,1,0,0
Aimorés - MG,0,0,1,0,0,0,0
Muriaé - MG,0,2,0,1,0,0,0
Florianópolis - SC,0,0,0,0,1,0,0
Miraí - MG,0,0,0,0,1,0,0
Itabuna - BA,0,0,0,1,0,0,0
Franco da Rocha - SP,0,0,0,0,1,0,0
Itaocara - RJ,0,0,1,0,0,0,0
VIANA,0,0,0,0,1,1,0
Muqui - ES,0,0,1,0,0,0,0
Saquarema,0,1,5,1,0,0,0
Parnaíba,0,0,0,2,2,0,0
Mantenópolis - ES,0,1,1,0,0,0,0
Criciúma - SC,0,0,0,3,0,0,0
São Francisco do Itabapoana,0,0,0,2,1,0,0
Salvador - BA,0,1,2,3,2,1,1
Aracajú - SE,0,0,0,1,1,0,0
Maringá - PR,0,0,0,1,0,0,0
Mari - PB,0,1,0,0,0,0,0
São João Batista - SC,0,0,1,0,0,0,0
Manaus - AM,0,0,5,3,0,0,0
São Luís - MA,0,1,1,0,1,0,0
Barreira - BA,0,0,1,0,0,0,0
Bandeirante - DF,0,1,0,0,0,0,0
São José dos Pinhais - PR,0,1,0,0,0,0,0
Duas Barras - RJ,0,0,1,0,0,0,0
Colorado do Oeste - RO,0,0,0,1,0,0,0
Anápolis - GO,0,1,0,2,1,0,0
Ilhéus - BA,0,0,0,1,0,0,0
Pontes e Lacerda - MT,0,0,0,0,1,0,0
Ipu - CE,0,0,0,1,0,0,0
Brasília,0,0,0,3,1,0,0
Boa Vista - RR,0,0,0,0,2,0,0
Alagoa Grande - PB,0,0,0,1,1,0,0
Complexo do Alemão,0,2,0,0,0,0,0
Suzano - SP,0,0,1,0,0,0,0
Recife - PE,0,0,1,1,1,0,0
Armação de Búzios,0,0,0,3,0,0,0
Unaí - MG,0,1,0,0,0,0,0
Linhares - ES,0,2,1,1,1,1,0
Arraial do Cabo,0,1,1,1,0,0,0
Ubatuba - SP,0,0,0,1,0,0,0
Cariacica - ES,0,2,0,3,3,0,0
Conselheiro Lafayete,0,1,0,0,0,0,0
Guarabira - PB,0,0,2,0,0,0,0
São Miguel do Oeste - SC,0,0,0,1,0,0,0
Porto Alegre - RS,0,0,0,1,0,0,0
Feira de Santana - BA,0,1,2,0,0,0,0
Sumidouro,0,0,0,1,0,0,0
Francisco Morato - SP,0,0,0,1,0,0,0
Conceição de Macabu,0,0,0,1,0,0,0
Guarapari - ES,0,0,0,1,0,0,0
Vergueiro - SP,0,0,1,2,0,0,0
Aparecida - SP,0,0,1,0,0,0,0
Itatiaia,0,0,0,1,1,1,0
Marataízes - ES,0,0,1,1,2,0,0
Caldas Novas - GO,0,0,0,0,1,0,0
Itajaí - SC,0,1,0,0,0,0,0
Pouso Alegre - MG,0,0,0,1,0,0,0
Santo Antônio de Pádua,0,1,0,1,1,0,0
São Lourenço - MG,0,1,0,1,0,0,0
Uruguaiana - RS,0,0,0,0,1,0,0
Americana - SP,0,0,1,0,0,0,0
Teixeira de Freitas - BA,0,0,0,0,1,0,0
Guarujá - SP,0,1,0,0,0,0,0
Fortaleza - CE,0,0,0,1,2,0,0
Dourados - MS,0,0,0,1,0,0,0
Lagarto - SE,0,0,1,1,0,0,0
Uberlândia - MG,0,0,1,1,0,0,0
São José do Vale do Rio Preto,0,0,0,1,0,0,0
Mogi Mirim - SP,0,0,0,1,0,0,0
Cuiabá - MT,0,0,1,0,1,0,0
Nossa Senhora do Socorro - SE,0,0,1,0,0,0,0
Ribeirão Pires - SP,0,1,0,0,0,0,0
Valparaiso de Goias,0,0,0,0,1,0,0
Taubaté - SP,0,0,1,0,0,0,0
São Gabriel - RS,0,1,0,0,0,0,0
Santo Amaro - SP,0,0,2,2,0,0,0
Lajinha - MG,0,1,0,0,0,0,0
Martins - RN,0,0,0,0,1,0,0
Baixo Guandu - ES,0,1,0,0,0,0,0
Contagem - MG,0,0,0,0,1,0,0
Sinop - MT,0,0,0,1,0,0,0
Maceió - AL,0,3,0,1,1,0,0
Santa Branca - SP,0,0,0,0,0,0,0
Ribeirão das Neves - MG,0,0,0,0,1,0,0
Três Marias - MG,0,0,1,0,0,0,0
Assis Chateaubriand - PR,0,0,0,0,1,0,0
Caxias do Sul - RS,0,0,0,1,0,0,0
Santo André - SP,0,0,1,0,0,0,0
Neópolis - SE,0,0,1,0,0,0,0
Brumadinho - MG,0,0,0,0,0,1,0
Gararanhuns - PE,0,1,0,0,0,0,0
Caruaru - PE,0,2,0,0,0,0,0
Bento Gonçalves - RS,0,2,0,0,0,0,0
Sorocaba - SP,0,1,0,0,0,0,0
Camaçari - BA,0,0,0,1,0,0,0
Piuma - ES,0,1,0,0,0,0,0
Divinópolis - MG,0,0,0,0,0,1,0
Lagoa Santa - MG,0,0,0,1,0,0,0
Rio Novo do Sul - ES,0,0,0,0,1,0,0
Manhumirim - MG,0,0,0,1,0,0,0
Domingos Martins - ES,0,0,0,0,1,0,0
Rio Bonito,0,0,1,0,0,0,0
SILVA JARDIM,0,0,0,0,0,1,0
Eunapolis - BA,0,0,0,1,0,0,0
Taguatinga - DF,0,1,0,0,0,0,0
Santana do Livramento - RS,0,0,1,0,0,0,0
Mondai - SC,0,0,1,0,0,0,0
Periperi - BA,0,0,0,1,0,0,0
Açucena - MG,0,1,0,0,0,0,0
Macapá - AP,0,0,1,0,0,0,0
Paranavaí - PR,0,0,1,0,0,0,0
Angicos - RN,0,1,0,0,0,0,0
Timon - RR,0,0,0,0,1,0,0
Governador Valadares - MG,0,0,0,0,0,1,0
Espumoso - RS,0,1,1,0,0,0,0
Vitória da Conquista - BA,0,1,0,0,0,0,0
Itamaraju-BA,0,0,1,0,0,0,0
Ibiporã - PR,0,0,0,0,0,1,0
Cascavel - PR,0,0,0,0,1,0,0
Raul Soares - MG,0,1,0,0,0,0,0
Jerônimo Monteiro - ES,0,1,0,0,0,0,0
Mauá - SP,0,0,0,0,1,0,0
Cantagalo,0,1,0,0,0,0,0
Rio Largo - AL,0,0,1,0,0,0,0
Minaçu - GO,0,0,0,1,0,0,0
Ji-Paraná - RO,0,0,0,0,0,1,0
Pires do Rio - GO,0,0,1,0,0,0,0
SANTA LUZIA - MG,0,1,0,0,0,0,0
Petrolina - PE,0,0,0,1,0,0,0
Cambuci,0,0,0,1,0,0,0
